pairs	target	gold	order	distractors	full_sent	prefix	sent
3271	include	include	x	2	Nfl practitioners of the playoff beard include ben roethlisberger and brett keisel( both of the pittsburgh steelers) and former denver broncos quarterback jake plummer.	Nfl practitioners of the playoff beard	Nfl practitioners of the playoff beard include
3271	includes	include	y	2	Nfl practitioners of the playoff beard include ben roethlisberger and brett keisel( both of the pittsburgh steelers) and former denver broncos quarterback jake plummer.	Nfl practitioners of the playoff beard	Nfl practitioners of the playoff beard includes
3272	receive	receive	x	4	Employers who pay the state unemployment tax on a timely basis receive an offset credit of up to 5.	Employers who pay the state unemployment tax on a timely basis	Employers who pay the state unemployment tax on a timely basis receive
3272	receives	receive	y	4	Employers who pay the state unemployment tax on a timely basis receive an offset credit of up to 5.	Employers who pay the state unemployment tax on a timely basis	Employers who pay the state unemployment tax on a timely basis receives
3273	hold	hold	x	3	Semi-solid mesodermal tissues between the gut and body wall hold their organs in place.	Semi-solid mesodermal tissues between the gut and body wall	Semi-solid mesodermal tissues between the gut and body wall hold
3273	holds	hold	y	3	Semi-solid mesodermal tissues between the gut and body wall hold their organs in place.	Semi-solid mesodermal tissues between the gut and body wall	Semi-solid mesodermal tissues between the gut and body wall holds
3274	recover	recover	x	0	Their journey back to france is compromised when morovich puts woody and harry out of commission and krokov's men recover natalia before retreating to their headquarters in monte carlo.	Their journey back to france is compromised when morovich puts woody and harry out of commission and krokov's men	Their journey back to france is compromised when morovich puts woody and harry out of commission and krokov's men recover
3274	recovers	recover	y	0	Their journey back to france is compromised when morovich puts woody and harry out of commission and krokov's men recover natalia before retreating to their headquarters in monte carlo.	Their journey back to france is compromised when morovich puts woody and harry out of commission and krokov's men	Their journey back to france is compromised when morovich puts woody and harry out of commission and krokov's men recovers
3275	is	is	x	0	However, voting is for advisory purposes only, ballots are destroyed promptly after they are counted and the elder committee is free to select whomever they wish.	However, voting is for advisory purposes only, ballots are destroyed promptly after they are counted and the elder committee	However, voting is for advisory purposes only, ballots are destroyed promptly after they are counted and the elder committee is
3275	are	is	y	0	However, voting is for advisory purposes only, ballots are destroyed promptly after they are counted and the elder committee is free to select whomever they wish.	However, voting is for advisory purposes only, ballots are destroyed promptly after they are counted and the elder committee	However, voting is for advisory purposes only, ballots are destroyed promptly after they are counted and the elder committee are
3276	indicates	indicates	x	3	Support having both flags and coats of arms clearly indicates that the area in question is apparently disputed, which is the npov information we want to get across.	Support having both flags and coats of arms clearly	Support having both flags and coats of arms clearly indicates
3276	indicate	indicates	y	3	Support having both flags and coats of arms clearly indicates that the area in question is apparently disputed, which is the npov information we want to get across.	Support having both flags and coats of arms clearly	Support having both flags and coats of arms clearly indicate
3277	gives	gives	x	3	This book of narratives and photographs from disposable cameras gives voice to the young and courageous women of cfk's binti pamoja( daughters united) center.	This book of narratives and photographs from disposable cameras	This book of narratives and photographs from disposable cameras gives
3277	give	gives	y	3	This book of narratives and photographs from disposable cameras gives voice to the young and courageous women of cfk's binti pamoja( daughters united) center.	This book of narratives and photographs from disposable cameras	This book of narratives and photographs from disposable cameras give
3278	include	include	x	1	Sections of the garden include water elements, plants and trees, mastabas of various heights, arbors, sand hills, gardens, and sites representing historical periods.	Sections of the garden	Sections of the garden include
3278	includes	include	y	1	Sections of the garden include water elements, plants and trees, mastabas of various heights, arbors, sand hills, gardens, and sites representing historical periods.	Sections of the garden	Sections of the garden includes
3279	disappear	disappear	x	2	When three balloons of the same colour match up, they disappear.	When three balloons of the same colour match up, they	When three balloons of the same colour match up, they disappear
3279	disappears	disappear	y	2	When three balloons of the same colour match up, they disappear.	When three balloons of the same colour match up, they	When three balloons of the same colour match up, they disappears
3280	show	show	x	0	More recent publications show that the necessary input for creating biofuels is significantly less than the cost of producing gasoline in terms of the use of petroleum-based technologies( tractors, refineries, etc.	More recent publications	More recent publications show
3280	shows	show	y	0	More recent publications show that the necessary input for creating biofuels is significantly less than the cost of producing gasoline in terms of the use of petroleum-based technologies( tractors, refineries, etc.	More recent publications	More recent publications shows
3281	is	is	x	0	Some have suggested that this story is an invention, arising from the`` enigmatic'' verse in the book of numbers that states`` miriam and aaron spoke against moses because of the cushite woman whom he had married''.	Some have suggested that this story	Some have suggested that this story is
3281	are	is	y	0	Some have suggested that this story is an invention, arising from the`` enigmatic'' verse in the book of numbers that states`` miriam and aaron spoke against moses because of the cushite woman whom he had married''.	Some have suggested that this story	Some have suggested that this story are
3282	are	are	x	2	Its main industries other than service and commerce are agriculture, oil and, until international paper closed the mill in march 2009, paper manufacture.	Its main industries other than service and commerce	Its main industries other than service and commerce are
3282	is	are	y	2	Its main industries other than service and commerce are agriculture, oil and, until international paper closed the mill in march 2009, paper manufacture.	Its main industries other than service and commerce	Its main industries other than service and commerce is
3283	are	are	x	1	The coaches of the first season are raffaella carrà, riccardo cocciante, noemi and piero pelù.	The coaches of the first season	The coaches of the first season are
3283	is	are	y	1	The coaches of the first season are raffaella carrà, riccardo cocciante, noemi and piero pelù.	The coaches of the first season	The coaches of the first season is
3284	includes	includes	x	0	In addition, each building includes an interior, silent core called a`` brahmasthan'', a perimeter boundary called a`` vastu fence'' and a gold-colored roof fixture called a`` kalash''.	In addition, each building	In addition, each building includes
3284	include	includes	y	0	In addition, each building includes an interior, silent core called a`` brahmasthan'', a perimeter boundary called a`` vastu fence'' and a gold-colored roof fixture called a`` kalash''.	In addition, each building	In addition, each building include
3285	are	are	x	2	Soluble fluoride salts, of which sodium fluoride is the most common, are only mildly toxic, although they have resulted in both accidental and suicidal deaths from acute poisoning.	Soluble fluoride salts, of which sodium fluoride is the most common,	Soluble fluoride salts, of which sodium fluoride is the most common, are
3285	is	are	y	2	Soluble fluoride salts, of which sodium fluoride is the most common, are only mildly toxic, although they have resulted in both accidental and suicidal deaths from acute poisoning.	Soluble fluoride salts, of which sodium fluoride is the most common,	Soluble fluoride salts, of which sodium fluoride is the most common, is
3286	remain	remain	x	2	The west wall has, near its northern end, a blocked late-14th-century doorway; and at the southern end the weather stones of the early aisle roof remain.	The west wall has, near its northern end, a blocked late-14th-century doorway; and at the southern end the weather stones of the early aisle roof	The west wall has, near its northern end, a blocked late-14th-century doorway; and at the southern end the weather stones of the early aisle roof remain
3286	remains	remain	y	2	The west wall has, near its northern end, a blocked late-14th-century doorway; and at the southern end the weather stones of the early aisle roof remain.	The west wall has, near its northern end, a blocked late-14th-century doorway; and at the southern end the weather stones of the early aisle roof	The west wall has, near its northern end, a blocked late-14th-century doorway; and at the southern end the weather stones of the early aisle roof remains
3287	cause	cause	x	3	Metals such as stainless steel, chrome and aluminium cause a bright penetrating sound and are mostly used with electric guitars, among others for rock music.	Metals such as stainless steel, chrome and aluminium	Metals such as stainless steel, chrome and aluminium cause
3287	causes	cause	y	3	Metals such as stainless steel, chrome and aluminium cause a bright penetrating sound and are mostly used with electric guitars, among others for rock music.	Metals such as stainless steel, chrome and aluminium	Metals such as stainless steel, chrome and aluminium causes
3288	include	include	x	3	Areas of responsibility of the district council include local planning, building control, council housing, refuse collection, recycling, and some leisure services and parks.	Areas of responsibility of the district council	Areas of responsibility of the district council include
3288	includes	include	y	3	Areas of responsibility of the district council include local planning, building control, council housing, refuse collection, recycling, and some leisure services and parks.	Areas of responsibility of the district council	Areas of responsibility of the district council includes
3289	are	are	x	2	Individuals that are already certified to teach or have extensive coursework in education are not eligible for the fellowship and should visit[ 1], to learn about other pathways to becoming a nyc public school teacher.	Individuals that are already certified to teach or have extensive coursework in education	Individuals that are already certified to teach or have extensive coursework in education are
3289	is	are	y	2	Individuals that are already certified to teach or have extensive coursework in education are not eligible for the fellowship and should visit[ 1], to learn about other pathways to becoming a nyc public school teacher.	Individuals that are already certified to teach or have extensive coursework in education	Individuals that are already certified to teach or have extensive coursework in education is
3290	are	are	x	2	I agree with enric, i think its especially ironic that the people wanting to restore an article on a technicality are the people complaining about an abuse of process.	I agree with enric, i think its especially ironic that the people wanting to restore an article on a technicality	I agree with enric, i think its especially ironic that the people wanting to restore an article on a technicality are
3290	is	are	y	2	I agree with enric, i think its especially ironic that the people wanting to restore an article on a technicality are the people complaining about an abuse of process.	I agree with enric, i think its especially ironic that the people wanting to restore an article on a technicality	I agree with enric, i think its especially ironic that the people wanting to restore an article on a technicality is
3291	are	are	x	2	Coal deposits, which form a major part of the infrastructure, are very unevenly distributed within different regions of india.	Coal deposits, which form a major part of the infrastructure,	Coal deposits, which form a major part of the infrastructure, are
3291	is	are	y	2	Coal deposits, which form a major part of the infrastructure, are very unevenly distributed within different regions of india.	Coal deposits, which form a major part of the infrastructure,	Coal deposits, which form a major part of the infrastructure, is
3292	look	look	x	2	The other editing tags about style and tone also look justified.	The other editing tags about style and tone also	The other editing tags about style and tone also look
3292	looks	look	y	2	The other editing tags about style and tone also look justified.	The other editing tags about style and tone also	The other editing tags about style and tone also looks
3293	has	has	x	0	The route has another trumpet interchange with sr 200 after leaving the arcata city limits and crossing the mad river.	The route	The route has
3293	have	has	y	0	The route has another trumpet interchange with sr 200 after leaving the arcata city limits and crossing the mad river.	The route	The route have
3294	have	have	x	3	Physio-chemical changes taking place at the stage of adolescence have their far reaching effect on the later psycho- physical development of the boys and girls.	Physio-chemical changes taking place at the stage of adolescence	Physio-chemical changes taking place at the stage of adolescence have
3294	has	have	y	3	Physio-chemical changes taking place at the stage of adolescence have their far reaching effect on the later psycho- physical development of the boys and girls.	Physio-chemical changes taking place at the stage of adolescence	Physio-chemical changes taking place at the stage of adolescence has
3295	are	are	x	3	Biographies in the body of the school article are not more relevant than having aircraft description in the middle of the description for boeing.	Biographies in the body of the school article	Biographies in the body of the school article are
3295	is	are	y	3	Biographies in the body of the school article are not more relevant than having aircraft description in the middle of the description for boeing.	Biographies in the body of the school article	Biographies in the body of the school article is
3296	are	are	x	1	Modern variants of the name are kameron, and kamron.	Modern variants of the name	Modern variants of the name are
3296	is	are	y	1	Modern variants of the name are kameron, and kamron.	Modern variants of the name	Modern variants of the name is
3297	means	means	x	3	The fact that people on both sides of many disputes agree on this means that he really must be neutral.	The fact that people on both sides of many disputes agree on this	The fact that people on both sides of many disputes agree on this means
3297	mean	means	y	3	The fact that people on both sides of many disputes agree on this means that he really must be neutral.	The fact that people on both sides of many disputes agree on this	The fact that people on both sides of many disputes agree on this mean
3298	include	include	x	2	Aside from elvis presley, notable examples throughout music history include dave brubeck, eric clapton, and eminem.	Aside from elvis presley, notable examples throughout music history	Aside from elvis presley, notable examples throughout music history include
3298	includes	include	y	2	Aside from elvis presley, notable examples throughout music history include dave brubeck, eric clapton, and eminem.	Aside from elvis presley, notable examples throughout music history	Aside from elvis presley, notable examples throughout music history includes
3299	is	is	x	0	Futher down, the copy is sometimes self-referencing, and is riddled with parentheses.	Futher down, the copy	Futher down, the copy is
3299	are	is	y	0	Futher down, the copy is sometimes self-referencing, and is riddled with parentheses.	Futher down, the copy	Futher down, the copy are
3300	include	include	x	0	These musicians include hobson and chambers, as well as bassists andy rourke, tom kelly and david paton, and drummers jimmy copley and j.	These musicians	These musicians include
3300	includes	include	y	0	These musicians include hobson and chambers, as well as bassists andy rourke, tom kelly and david paton, and drummers jimmy copley and j.	These musicians	These musicians includes
3301	is	is	x	1	Suggest adding the f-4 cat as well; the lone user in both groups is also in the aviation cat.	Suggest adding the f-4 cat as well; the lone user in both groups	Suggest adding the f-4 cat as well; the lone user in both groups is
3301	are	is	y	1	Suggest adding the f-4 cat as well; the lone user in both groups is also in the aviation cat.	Suggest adding the f-4 cat as well; the lone user in both groups	Suggest adding the f-4 cat as well; the lone user in both groups are
3302	is	is	x	0	All due respect to people with horses in the race like nableezy, when the material is notable, there are clearly normative sources rather than this fringe political group.	All due respect to people with horses in the race like nableezy, when the material	All due respect to people with horses in the race like nableezy, when the material is
3302	are	is	y	0	All due respect to people with horses in the race like nableezy, when the material is notable, there are clearly normative sources rather than this fringe political group.	All due respect to people with horses in the race like nableezy, when the material	All due respect to people with horses in the race like nableezy, when the material are
3303	are	are	x	1	The visible soft parts of the animal are a very unusual strong dark blue, mixed with grey.	The visible soft parts of the animal	The visible soft parts of the animal are
3303	is	are	y	1	The visible soft parts of the animal are a very unusual strong dark blue, mixed with grey.	The visible soft parts of the animal	The visible soft parts of the animal is
3304	is	is	x	1	The need for truly reliable sources is especially apparent in this age of blogging, and the ability to sort fact from junk has been a necessity.	The need for truly reliable sources	The need for truly reliable sources is
3304	are	is	y	1	The need for truly reliable sources is especially apparent in this age of blogging, and the ability to sort fact from junk has been a necessity.	The need for truly reliable sources	The need for truly reliable sources are
3305	prefer	prefer	x	1	Many leisure sailors even today prefer hammocks over bunks because of better comfort in sleep while on the high seas.	Many leisure sailors even today	Many leisure sailors even today prefer
3305	prefers	prefer	y	1	Many leisure sailors even today prefer hammocks over bunks because of better comfort in sleep while on the high seas.	Many leisure sailors even today	Many leisure sailors even today prefers
3306	is	is	x	2	Because the climate in graubünden is too cold for nut trees to thrive, the origin of nuts in their pastries is subject to some debate.	Because the climate in graubünden is too cold for nut trees to thrive, the origin of nuts in their pastries	Because the climate in graubünden is too cold for nut trees to thrive, the origin of nuts in their pastries is
3306	are	is	y	2	Because the climate in graubünden is too cold for nut trees to thrive, the origin of nuts in their pastries is subject to some debate.	Because the climate in graubünden is too cold for nut trees to thrive, the origin of nuts in their pastries	Because the climate in graubünden is too cold for nut trees to thrive, the origin of nuts in their pastries are
3307	are	are	x	2	The tasks where the cerebellum most clearly comes into play are those in which it is necessary to make fine adjustments to the way an action is performed.	The tasks where the cerebellum most clearly comes into play	The tasks where the cerebellum most clearly comes into play are
3307	is	are	y	2	The tasks where the cerebellum most clearly comes into play are those in which it is necessary to make fine adjustments to the way an action is performed.	The tasks where the cerebellum most clearly comes into play	The tasks where the cerebellum most clearly comes into play is
3308	include	include	x	2	Other drivers of productivity growth include effective supervision and job satisfaction.	Other drivers of productivity growth	Other drivers of productivity growth include
3308	includes	include	y	2	Other drivers of productivity growth include effective supervision and job satisfaction.	Other drivers of productivity growth	Other drivers of productivity growth includes
3309	follows	follows	x	0	The third film follows damien as an adult, now head of his uncle's industry, trying to find the reborn christ.	The third film	The third film follows
3309	follow	follows	y	0	The third film follows damien as an adult, now head of his uncle's industry, trying to find the reborn christ.	The third film	The third film follow
3310	see	see	x	2	Rarely, women who have low estrogen( genetically, for example, see aromatase; or otherwise) will have a spectrum of problems and breast size is not likely to be their main concern.	Rarely, women who have low estrogen( genetically, for example,	Rarely, women who have low estrogen( genetically, for example, see
3310	sees	see	y	2	Rarely, women who have low estrogen( genetically, for example, see aromatase; or otherwise) will have a spectrum of problems and breast size is not likely to be their main concern.	Rarely, women who have low estrogen( genetically, for example,	Rarely, women who have low estrogen( genetically, for example, sees
3311	are	are	x	2	Candidates who have just passed class 7th and are studying in class 8th are also eligible.	Candidates who have just passed class 7th and are studying in class 8th	Candidates who have just passed class 7th and are studying in class 8th are
3311	is	are	y	2	Candidates who have just passed class 7th and are studying in class 8th are also eligible.	Candidates who have just passed class 7th and are studying in class 8th	Candidates who have just passed class 7th and are studying in class 8th is
3312	describe	describe	x	1	Maxwell's equations for electromagnetism describe the propagation of an electromagnetic wave as an oscillation between an electrical component and a magnetic component.	Maxwell's equations for electromagnetism	Maxwell's equations for electromagnetism describe
3312	describes	describe	y	1	Maxwell's equations for electromagnetism describe the propagation of an electromagnetic wave as an oscillation between an electrical component and a magnetic component.	Maxwell's equations for electromagnetism	Maxwell's equations for electromagnetism describes
3313	are	are	x	2	The five flows which erupted from the new vent during the period from 1953 to 1963 are olivine-bearing, two pyroxene, high-silica andesite.	The five flows which erupted from the new vent during the period from 1953 to 1963	The five flows which erupted from the new vent during the period from 1953 to 1963 are
3313	is	are	y	2	The five flows which erupted from the new vent during the period from 1953 to 1963 are olivine-bearing, two pyroxene, high-silica andesite.	The five flows which erupted from the new vent during the period from 1953 to 1963	The five flows which erupted from the new vent during the period from 1953 to 1963 is
3314	are	are	x	0	Throughout most of its range, adults are nearly uniform in color and pattern.	Throughout most of its range, adults	Throughout most of its range, adults are
3314	is	are	y	0	Throughout most of its range, adults are nearly uniform in color and pattern.	Throughout most of its range, adults	Throughout most of its range, adults is
3315	consist	consist	x	1	Before that period armies lacked the organization to deploy permanent units, so that orders of battle usually consist in an enumeration of leaders with commands.	Before that period armies lacked the organization to deploy permanent units, so that orders of battle usually	Before that period armies lacked the organization to deploy permanent units, so that orders of battle usually consist
3315	consists	consist	y	1	Before that period armies lacked the organization to deploy permanent units, so that orders of battle usually consist in an enumeration of leaders with commands.	Before that period armies lacked the organization to deploy permanent units, so that orders of battle usually	Before that period armies lacked the organization to deploy permanent units, so that orders of battle usually consists
3316	is	is	x	0	This group is just a hack added to bypass the autoconfirmed right.	This group	This group is
3316	are	is	y	0	This group is just a hack added to bypass the autoconfirmed right.	This group	This group are
3317	do	do	x	2	As perceptions of nationalism change so do those areas of history that are driven by such ideas.	As perceptions of nationalism change so	As perceptions of nationalism change so do
3317	does	do	y	2	As perceptions of nationalism change so do those areas of history that are driven by such ideas.	As perceptions of nationalism change so	As perceptions of nationalism change so does
3318	include	include	x	1	Opportunities provided at the school include entering competitions in writing, public speaking, debating, art, drama, the sciences, mathematics, problem solving and mock trials.	Opportunities provided at the school	Opportunities provided at the school include
3318	includes	include	y	1	Opportunities provided at the school include entering competitions in writing, public speaking, debating, art, drama, the sciences, mathematics, problem solving and mock trials.	Opportunities provided at the school	Opportunities provided at the school includes
3319	include	include	x	3	Past performers on the beer garden stage include jim bryson and amanda rheaume.	Past performers on the beer garden stage	Past performers on the beer garden stage include
3319	includes	include	y	3	Past performers on the beer garden stage include jim bryson and amanda rheaume.	Past performers on the beer garden stage	Past performers on the beer garden stage includes
3320	describes	describes	x	0	Myomatous erythrocytosis syndrome describes an excessive erythrocyte( red blood cells) production, occurring in about 0.	Myomatous erythrocytosis syndrome	Myomatous erythrocytosis syndrome describes
3320	describe	describes	y	0	Myomatous erythrocytosis syndrome describes an excessive erythrocyte( red blood cells) production, occurring in about 0.	Myomatous erythrocytosis syndrome	Myomatous erythrocytosis syndrome describe
3321	are	are	x	1	Apart from special cases, as in iron and steel, where the economies of scale are optimal for very large firms, there was some question as to the desirability of establishing national monopolies.	Apart from special cases, as in iron and steel, where the economies of scale	Apart from special cases, as in iron and steel, where the economies of scale are
3321	is	are	y	1	Apart from special cases, as in iron and steel, where the economies of scale are optimal for very large firms, there was some question as to the desirability of establishing national monopolies.	Apart from special cases, as in iron and steel, where the economies of scale	Apart from special cases, as in iron and steel, where the economies of scale is
3322	are	are	x	3	Accusations of vandalism, bullying and racism are not conducive to calm discussion.	Accusations of vandalism, bullying and racism	Accusations of vandalism, bullying and racism are
3322	is	are	y	3	Accusations of vandalism, bullying and racism are not conducive to calm discussion.	Accusations of vandalism, bullying and racism	Accusations of vandalism, bullying and racism is
3323	is	is	x	0	The city's slogan is`` it's all right here.	The city's slogan	The city's slogan is
3323	are	is	y	0	The city's slogan is`` it's all right here.	The city's slogan	The city's slogan are
3324	is	is	x	0	The first example you gave is directly from here.	The first example you gave	The first example you gave is
3324	are	is	y	0	The first example you gave is directly from here.	The first example you gave	The first example you gave are
3325	are	are	x	3	Isotope ratios in food, especially plant food, are directly and predictably reflected in bone chemistry, allowing researchers to partially reconstruct recent diet using stable isotopes as tracers.	Isotope ratios in food, especially plant food,	Isotope ratios in food, especially plant food, are
3325	is	are	y	3	Isotope ratios in food, especially plant food, are directly and predictably reflected in bone chemistry, allowing researchers to partially reconstruct recent diet using stable isotopes as tracers.	Isotope ratios in food, especially plant food,	Isotope ratios in food, especially plant food, is
3326	connects	connects	x	1	Thus, every new node with m edges connects only to m existing nodes from its local world and does not link with nodes which are in the global system( the main difference from the ba model).	Thus, every new node with m edges	Thus, every new node with m edges connects
3326	connect	connects	y	1	Thus, every new node with m edges connects only to m existing nodes from its local world and does not link with nodes which are in the global system( the main difference from the ba model).	Thus, every new node with m edges	Thus, every new node with m edges connect
3327	are	are	x	2	The six examples of use given in the article are all just by bloggers; the paul krugman thing noted above is something he mentioned in passing in an e-mail( and thus a trivial mention).	The six examples of use given in the article	The six examples of use given in the article are
3327	is	are	y	2	The six examples of use given in the article are all just by bloggers; the paul krugman thing noted above is something he mentioned in passing in an e-mail( and thus a trivial mention).	The six examples of use given in the article	The six examples of use given in the article is
3328	are	are	x	4	Traces of settlement in the place of today's town are from the stone age.	Traces of settlement in the place of today's town	Traces of settlement in the place of today's town are
3328	is	are	y	4	Traces of settlement in the place of today's town are from the stone age.	Traces of settlement in the place of today's town	Traces of settlement in the place of today's town is
3329	is	is	x	3	The protein content in roots, tubers and fruits is between 0 and 2 percent.	The protein content in roots, tubers and fruits	The protein content in roots, tubers and fruits is
3329	are	is	y	3	The protein content in roots, tubers and fruits is between 0 and 2 percent.	The protein content in roots, tubers and fruits	The protein content in roots, tubers and fruits are
3330	spend	spend	x	0	Cyclops roundleaf bats spend the day roosting in hollow trees, often in cavities as far from the ground as possible.	Cyclops roundleaf bats	Cyclops roundleaf bats spend
3330	spends	spend	y	0	Cyclops roundleaf bats spend the day roosting in hollow trees, often in cavities as far from the ground as possible.	Cyclops roundleaf bats	Cyclops roundleaf bats spends
3331	live	live	x	0	The society spearheads numerous rock related events like the battle of the bands and live rock club shows that has spurred constructive level of activity for bands.	The society spearheads numerous rock related events like the battle of the bands and	The society spearheads numerous rock related events like the battle of the bands and live
3331	lives	live	y	0	The society spearheads numerous rock related events like the battle of the bands and live rock club shows that has spurred constructive level of activity for bands.	The society spearheads numerous rock related events like the battle of the bands and	The society spearheads numerous rock related events like the battle of the bands and lives
3332	are	are	x	0	Solutional caves are the most frequently occurring caves and such caves form in rock that is soluble, such as limestone, but can also form in other rocks, including chalk, dolomite, marble, salt, and gypsum.	Solutional caves	Solutional caves are
3332	is	are	y	0	Solutional caves are the most frequently occurring caves and such caves form in rock that is soluble, such as limestone, but can also form in other rocks, including chalk, dolomite, marble, salt, and gypsum.	Solutional caves	Solutional caves is
3333	are	are	x	2	Tents, sleeping pads, and cooking equipment are optional based on weight and space.	Tents, sleeping pads, and cooking equipment	Tents, sleeping pads, and cooking equipment are
3333	is	are	y	2	Tents, sleeping pads, and cooking equipment are optional based on weight and space.	Tents, sleeping pads, and cooking equipment	Tents, sleeping pads, and cooking equipment is
3334	are	are	x	2	Keep, because most churches of this age and size are notable.	Keep, because most churches of this age and size	Keep, because most churches of this age and size are
3334	is	are	y	2	Keep, because most churches of this age and size are notable.	Keep, because most churches of this age and size	Keep, because most churches of this age and size is
3335	are	are	x	0	While the surface elevation shows a propagating wave, the fluid particles are in an orbital motion.	While the surface elevation shows a propagating wave, the fluid particles	While the surface elevation shows a propagating wave, the fluid particles are
3335	is	are	y	0	While the surface elevation shows a propagating wave, the fluid particles are in an orbital motion.	While the surface elevation shows a propagating wave, the fluid particles	While the surface elevation shows a propagating wave, the fluid particles is
3336	are	are	x	2	Traffic volumes along the southern portion of the highway are generally low, with an annual average daily traffic( aadt) of 1, 000 vehicles.	Traffic volumes along the southern portion of the highway	Traffic volumes along the southern portion of the highway are
3336	is	are	y	2	Traffic volumes along the southern portion of the highway are generally low, with an annual average daily traffic( aadt) of 1, 000 vehicles.	Traffic volumes along the southern portion of the highway	Traffic volumes along the southern portion of the highway is
3337	include	include	x	1	Major companies based in the city include siberian business union.	Major companies based in the city	Major companies based in the city include
3337	includes	include	y	1	Major companies based in the city include siberian business union.	Major companies based in the city	Major companies based in the city includes
3338	is	is	x	1	The number one thing these people have going for them is education.	The number one thing these people have going for them	The number one thing these people have going for them is
3338	are	is	y	1	The number one thing these people have going for them is education.	The number one thing these people have going for them	The number one thing these people have going for them are
3339	reveal	reveal	x	2	Portions of the fossil that have been isolated for microscopic examination reveal an extraordinary degree of cellular detail.	Portions of the fossil that have been isolated for microscopic examination	Portions of the fossil that have been isolated for microscopic examination reveal
3339	reveals	reveal	y	2	Portions of the fossil that have been isolated for microscopic examination reveal an extraordinary degree of cellular detail.	Portions of the fossil that have been isolated for microscopic examination	Portions of the fossil that have been isolated for microscopic examination reveals
3340	are	are	x	0	Jordana is typical of the young native-born girls, and initially hostile toward kitty, believing that american women are no good for anything other than dressing up prettily.	Jordana is typical of the young native-born girls, and initially hostile toward kitty, believing that american women	Jordana is typical of the young native-born girls, and initially hostile toward kitty, believing that american women are
3340	is	are	y	0	Jordana is typical of the young native-born girls, and initially hostile toward kitty, believing that american women are no good for anything other than dressing up prettily.	Jordana is typical of the young native-born girls, and initially hostile toward kitty, believing that american women	Jordana is typical of the young native-born girls, and initially hostile toward kitty, believing that american women is
3341	are	are	x	0	The mende people are one of the two largest ethnic groups in sierra leone, their neighbours the temne people having roughly the same population.	The mende people	The mende people are
3341	is	are	y	0	The mende people are one of the two largest ethnic groups in sierra leone, their neighbours the temne people having roughly the same population.	The mende people	The mende people is
3342	make	make	x	3	Dead wood, ericaceous shrubs, and a thick layer of poorly decomposed plant litter make this habitat very fire-prone.	Dead wood, ericaceous shrubs, and a thick layer of poorly decomposed plant litter	Dead wood, ericaceous shrubs, and a thick layer of poorly decomposed plant litter make
3342	makes	make	y	3	Dead wood, ericaceous shrubs, and a thick layer of poorly decomposed plant litter make this habitat very fire-prone.	Dead wood, ericaceous shrubs, and a thick layer of poorly decomposed plant litter	Dead wood, ericaceous shrubs, and a thick layer of poorly decomposed plant litter makes
3343	are	are	x	3	The grounds, which feature original equipment from the coffee farm, are also available for touring.	The grounds, which feature original equipment from the coffee farm,	The grounds, which feature original equipment from the coffee farm, are
3343	is	are	y	3	The grounds, which feature original equipment from the coffee farm, are also available for touring.	The grounds, which feature original equipment from the coffee farm,	The grounds, which feature original equipment from the coffee farm, is
3344	is	is	x	1	The number of haploid chromosomes is 30.	The number of haploid chromosomes	The number of haploid chromosomes is
3344	are	is	y	1	The number of haploid chromosomes is 30.	The number of haploid chromosomes	The number of haploid chromosomes are
3345	leave	leave	x	2	Major disturbances like a startup bubble burst leave behind an investment dry environment.	Major disturbances like a startup bubble burst	Major disturbances like a startup bubble burst leave
3345	leaves	leave	y	2	Major disturbances like a startup bubble burst leave behind an investment dry environment.	Major disturbances like a startup bubble burst	Major disturbances like a startup bubble burst leaves
3346	have	have	x	1	The languages of the plateau area have relatively rare pharyngeals and epiglottals( they are otherwise restricted to afro-asiatic and caucasian languages).	The languages of the plateau area	The languages of the plateau area have
3346	has	have	y	1	The languages of the plateau area have relatively rare pharyngeals and epiglottals( they are otherwise restricted to afro-asiatic and caucasian languages).	The languages of the plateau area	The languages of the plateau area has
3347	are	are	x	2	Other topics addressed in the story collection are pain and eroticism and different political and cultural values attributed to sexuality.	Other topics addressed in the story collection	Other topics addressed in the story collection are
3347	is	are	y	2	Other topics addressed in the story collection are pain and eroticism and different political and cultural values attributed to sexuality.	Other topics addressed in the story collection	Other topics addressed in the story collection is
3348	are	are	x	2	Common situations where positive airway pressure is indicated are those where taking a breath is difficult.	Common situations where positive airway pressure is indicated	Common situations where positive airway pressure is indicated are
3348	is	are	y	2	Common situations where positive airway pressure is indicated are those where taking a breath is difficult.	Common situations where positive airway pressure is indicated	Common situations where positive airway pressure is indicated is
3349	is	is	x	0	No other information is available to determine if vaughan had returned to his colony new cambriol after 1630, but his efforts to entice further colonization did not cease.	No other information	No other information is
3349	are	is	y	0	No other information is available to determine if vaughan had returned to his colony new cambriol after 1630, but his efforts to entice further colonization did not cease.	No other information	No other information are
3350	include	include	x	2	Recent developments in proof theory include the study of proof mining by ulrich kohlenbach and the study of proof-theoretic ordinals by michael rathjen.	Recent developments in proof theory	Recent developments in proof theory include
3350	includes	include	y	2	Recent developments in proof theory include the study of proof mining by ulrich kohlenbach and the study of proof-theoretic ordinals by michael rathjen.	Recent developments in proof theory	Recent developments in proof theory includes
