pairs	order	P	T	prime	target
1472	y	Active	Passive	the professor helps the uncle.	a writer was followed by a mother.
1473	y	Passive	Active	the uncle is helped by the professor.	a mother followed a writer.
1473	x	Active	Active	the professor helps the uncle.	a mother followed a writer.
1474	x	Passive	Passive	the meal is grabbed by the guy.	a writer was followed by a mother.
1474	y	Active	Passive	the guy grabs the meal.	a writer was followed by a mother.
1475	y	Passive	Active	the meal is grabbed by the guy.	a mother followed a writer.
1475	x	Active	Active	the guy grabs the meal.	a mother followed a writer.
1476	x	Passive	Passive	the coffee is carried by the son.	a writer was followed by a mother.
1476	y	Active	Passive	the son carries the coffee.	a writer was followed by a mother.
1477	y	Passive	Active	the coffee is carried by the son.	a mother followed a writer.
1477	x	Active	Active	the son carries the coffee.	a mother followed a writer.
1478	x	Passive	Passive	the beer is raised by the prince.	a writer was followed by a mother.
1478	y	Active	Passive	the prince raises the beer.	a writer was followed by a mother.
1479	y	Passive	Active	the beer is raised by the prince.	a mother followed a writer.
1479	x	Active	Active	the prince raises the beer.	a mother followed a writer.
1480	x	Passive	Passive	the nurse is judged by the brother.	a company was led by a reader.
1480	y	Active	Passive	the brother judges the nurse.	a company was led by a reader.
1481	y	Passive	Active	the nurse is judged by the brother.	a reader led a company.
1481	x	Active	Active	the brother judges the nurse.	a reader led a company.
1482	x	Passive	Passive	the television is described by the opponent.	a company was led by a reader.
1482	y	Active	Passive	the opponent describes the television.	a company was led by a reader.
1483	y	Passive	Active	the television is described by the opponent.	a reader led a company.
1483	x	Active	Active	the opponent describes the television.	a reader led a company.
1484	x	Passive	Passive	the lady is kissed by the doctor.	a company was led by a reader.
1484	y	Active	Passive	the doctor kisses the lady.	a company was led by a reader.
1485	y	Passive	Active	the lady is kissed by the doctor.	a reader led a company.
1485	x	Active	Active	the doctor kisses the lady.	a reader led a company.
1486	x	Passive	Passive	the girl is taught by the opponent.	a company was led by a reader.
1486	y	Active	Passive	the opponent teaches the girl.	a company was led by a reader.
1487	y	Passive	Active	the girl is taught by the opponent.	a reader led a company.
1487	x	Active	Active	the opponent teaches the girl.	a reader led a company.
1488	x	Passive	Passive	the teacher is hurried by the physician.	a company was led by a reader.
1488	y	Active	Passive	the physician hurries the teacher.	a company was led by a reader.
1489	y	Passive	Active	the teacher is hurried by the physician.	a reader led a company.
1489	x	Active	Active	the physician hurries the teacher.	a reader led a company.
1490	x	Passive	Passive	the salad is eaten by the nurse.	a company was led by a reader.
1490	y	Active	Passive	the nurse eats the salad.	a company was led by a reader.
1491	y	Passive	Active	the salad is eaten by the nurse.	a reader led a company.
1491	x	Active	Active	the nurse eats the salad.	a reader led a company.
1492	x	Passive	Passive	the employee is understood by the scientist.	a company was led by a reader.
1492	y	Active	Passive	the scientist understands the employee.	a company was led by a reader.
1493	y	Passive	Active	the employee is understood by the scientist.	a reader led a company.
1493	x	Active	Active	the scientist understands the employee.	a reader led a company.
1494	x	Passive	Passive	the juice is collected by the wife.	a company was led by a reader.
1494	y	Active	Passive	the wife collects the juice.	a company was led by a reader.
1495	y	Passive	Active	the juice is collected by the wife.	a reader led a company.
1495	x	Active	Active	the wife collects the juice.	a reader led a company.
1496	x	Passive	Passive	the administration is forgiven by the mother.	a company was led by a reader.
1496	y	Active	Passive	the mother forgives the administration.	a company was led by a reader.
1497	y	Passive	Active	the administration is forgiven by the mother.	a reader led a company.
1497	x	Active	Active	the mother forgives the administration.	a reader led a company.
1498	x	Passive	Passive	the camera is broken by the hero.	a company was led by a reader.
1498	y	Active	Passive	the hero breaks the camera.	a company was led by a reader.
1499	y	Passive	Active	the camera is broken by the hero.	a reader led a company.
1499	x	Active	Active	the hero breaks the camera.	a reader led a company.
1500	x	Passive	Passive	a juice was drunk by a son.	the lawyer is embraced by the leader.
1500	y	Active	Passive	a son drank a juice.	the lawyer is embraced by the leader.
1501	y	Passive	Active	a juice was drunk by a son.	the leader embraces the lawyer.
1501	x	Active	Active	a son drank a juice.	the leader embraces the lawyer.
1502	x	Passive	Passive	a worker was killed by a physician.	the lawyer is embraced by the leader.
1502	y	Active	Passive	a physician killed a worker.	the lawyer is embraced by the leader.
1503	y	Passive	Active	a worker was killed by a physician.	the leader embraces the lawyer.
1503	x	Active	Active	a physician killed a worker.	the leader embraces the lawyer.
1504	x	Passive	Passive	an employee was caught by a professor.	the lawyer is embraced by the leader.
1504	y	Active	Passive	a professor caught an employee.	the lawyer is embraced by the leader.
1505	y	Passive	Active	an employee was caught by a professor.	the leader embraces the lawyer.
1505	x	Active	Active	a professor caught an employee.	the leader embraces the lawyer.
1506	x	Passive	Passive	a teacher was punched by a guest.	the lawyer is embraced by the leader.
1506	y	Active	Passive	a guest punched a teacher.	the lawyer is embraced by the leader.
1507	y	Passive	Active	a teacher was punched by a guest.	the leader embraces the lawyer.
1507	x	Active	Active	a guest punched a teacher.	the leader embraces the lawyer.
1508	x	Passive	Passive	an engine was accepted by an employer.	the lawyer is embraced by the leader.
1508	y	Active	Passive	an employer accepted an engine.	the lawyer is embraced by the leader.
1509	y	Passive	Active	an engine was accepted by an employer.	the leader embraces the lawyer.
1509	x	Active	Active	an employer accepted an engine.	the leader embraces the lawyer.
1510	x	Passive	Passive	a winner was asked by a writer.	the lawyer is embraced by the leader.
1510	y	Active	Passive	a writer asked a winner.	the lawyer is embraced by the leader.
1511	y	Passive	Active	a winner was asked by a writer.	the leader embraces the lawyer.
1511	x	Active	Active	a writer asked a winner.	the leader embraces the lawyer.
1512	x	Passive	Passive	a champion was hurried by a father.	the lawyer is embraced by the leader.
1512	y	Active	Passive	a father hurried a champion.	the lawyer is embraced by the leader.
1513	y	Passive	Active	a champion was hurried by a father.	the leader embraces the lawyer.
1513	x	Active	Active	a father hurried a champion.	the leader embraces the lawyer.
1514	x	Passive	Passive	a soldier was hurried by a candidate.	the lawyer is embraced by the leader.
1514	y	Active	Passive	a candidate hurried a soldier.	the lawyer is embraced by the leader.
1515	y	Passive	Active	a soldier was hurried by a candidate.	the leader embraces the lawyer.
1515	x	Active	Active	a candidate hurried a soldier.	the leader embraces the lawyer.
1516	x	Passive	Passive	a bishop was beaten by an actress.	the lawyer is embraced by the leader.
1516	y	Active	Passive	an actress beat a bishop.	the lawyer is embraced by the leader.
1517	y	Passive	Active	a bishop was beaten by an actress.	the leader embraces the lawyer.
1517	x	Active	Active	an actress beat a bishop.	the leader embraces the lawyer.
1518	x	Passive	Passive	a bottle was kept by a business.	the lawyer is embraced by the leader.
1518	y	Active	Passive	a business kept a bottle.	the lawyer is embraced by the leader.
1519	y	Passive	Active	a bottle was kept by a business.	the leader embraces the lawyer.
1519	x	Active	Active	a business kept a bottle.	the leader embraces the lawyer.
1520	x	Passive	Passive	a guest was surprised by an attorney.	the flower is wrapped by the colonel.
1520	y	Active	Passive	an attorney surprised a guest.	the flower is wrapped by the colonel.
1521	y	Passive	Active	a guest was surprised by an attorney.	the colonel wraps the flower.
1521	x	Active	Active	an attorney surprised a guest.	the colonel wraps the flower.
1522	x	Passive	Passive	an administration was bothered by a candidate.	the flower is wrapped by the colonel.
1522	y	Active	Passive	a candidate bothered an administration.	the flower is wrapped by the colonel.
1523	y	Passive	Active	an administration was bothered by a candidate.	the colonel wraps the flower.
1523	x	Active	Active	a candidate bothered an administration.	the colonel wraps the flower.
1524	x	Passive	Passive	a bag was left by an employee.	the flower is wrapped by the colonel.
1524	y	Active	Passive	an employee left a bag.	the flower is wrapped by the colonel.
1525	y	Passive	Active	a bag was left by an employee.	the colonel wraps the flower.
1525	x	Active	Active	an employee left a bag.	the colonel wraps the flower.
1526	x	Passive	Passive	a chocolate was wanted by a company.	the flower is wrapped by the colonel.
1526	y	Active	Passive	a company wanted a chocolate.	the flower is wrapped by the colonel.
1527	y	Passive	Active	a chocolate was wanted by a company.	the colonel wraps the flower.
1527	x	Active	Active	a company wanted a chocolate.	the colonel wraps the flower.
1528	x	Passive	Passive	a champion was selected by a hero.	the flower is wrapped by the colonel.
1528	y	Active	Passive	a hero selected a champion.	the flower is wrapped by the colonel.
1529	y	Passive	Active	a champion was selected by a hero.	the colonel wraps the flower.
1529	x	Active	Active	a hero selected a champion.	the colonel wraps the flower.
1530	x	Passive	Passive	a bottle was accepted by a friend.	the flower is wrapped by the colonel.
1530	y	Active	Passive	a friend accepted a bottle.	the flower is wrapped by the colonel.
1531	y	Passive	Active	a bottle was accepted by a friend.	the colonel wraps the flower.
1531	x	Active	Active	a friend accepted a bottle.	the colonel wraps the flower.
1532	x	Passive	Passive	a professor was killed by a student.	the flower is wrapped by the colonel.
1532	y	Active	Passive	a student killed a professor.	the flower is wrapped by the colonel.
1533	y	Passive	Active	a professor was killed by a student.	the colonel wraps the flower.
1533	x	Active	Active	a student killed a professor.	the colonel wraps the flower.
1534	x	Passive	Passive	a gun was collected by a physician.	the flower is wrapped by the colonel.
1534	y	Active	Passive	a physician collected a gun.	the flower is wrapped by the colonel.
1535	y	Passive	Active	a gun was collected by a physician.	the colonel wraps the flower.
1535	x	Active	Active	a physician collected a gun.	the colonel wraps the flower.
1536	x	Passive	Passive	a sheriff was caught by a lawyer.	the flower is wrapped by the colonel.
1536	y	Active	Passive	a lawyer caught a sheriff.	the flower is wrapped by the colonel.
1537	y	Passive	Active	a sheriff was caught by a lawyer.	the colonel wraps the flower.
1537	x	Active	Active	a lawyer caught a sheriff.	the colonel wraps the flower.
1538	x	Passive	Passive	a candidate was forgotten by a friend.	the flower is wrapped by the colonel.
1538	y	Active	Passive	a friend forgot a candidate.	the flower is wrapped by the colonel.
1539	y	Passive	Active	a candidate was forgotten by a friend.	the colonel wraps the flower.
1539	x	Active	Active	a friend forgot a candidate.	the colonel wraps the flower.
1540	x	Passive	Passive	a kid is discovered by an author.	the cheese was carried by the son.
1540	y	Active	Passive	an author discovers a kid.	the cheese was carried by the son.
1541	y	Passive	Active	a kid is discovered by an author.	the son carried the cheese.
1541	x	Active	Active	an author discovers a kid.	the son carried the cheese.
1542	x	Passive	Passive	a husband is taught by a lady.	the cheese was carried by the son.
1542	y	Active	Passive	a lady teaches a husband.	the cheese was carried by the son.
1543	y	Passive	Active	a husband is taught by a lady.	the son carried the cheese.
1543	x	Active	Active	a lady teaches a husband.	the son carried the cheese.
1544	x	Passive	Passive	a cup is smelled by a priest.	the cheese was carried by the son.
1544	y	Active	Passive	a priest smells a cup.	the cheese was carried by the son.
1545	y	Passive	Active	a cup is smelled by a priest.	the son carried the cheese.
1545	x	Active	Active	a priest smells a cup.	the son carried the cheese.
1546	x	Passive	Passive	a corporation is joined by an employee.	the cheese was carried by the son.
1546	y	Active	Passive	an employee joins a corporation.	the cheese was carried by the son.
1547	y	Passive	Active	a corporation is joined by an employee.	the son carried the cheese.
1547	x	Active	Active	an employee joins a corporation.	the son carried the cheese.
1548	x	Passive	Passive	a television is grabbed by a sheriff.	the cheese was carried by the son.
1548	y	Active	Passive	a sheriff grabs a television.	the cheese was carried by the son.
1549	y	Passive	Active	a television is grabbed by a sheriff.	the son carried the cheese.
1549	x	Active	Active	a sheriff grabs a television.	the son carried the cheese.
1550	x	Passive	Passive	a club is asked by an opponent.	the cheese was carried by the son.
1550	y	Active	Passive	an opponent asks a club.	the cheese was carried by the son.
1551	y	Passive	Active	a club is asked by an opponent.	the son carried the cheese.
1551	x	Active	Active	an opponent asks a club.	the son carried the cheese.
1552	x	Passive	Passive	a machine is purchased by a band.	the cheese was carried by the son.
1552	y	Active	Passive	a band purchases a machine.	the cheese was carried by the son.
1553	y	Passive	Active	a machine is purchased by a band.	the son carried the cheese.
1553	x	Active	Active	a band purchases a machine.	the son carried the cheese.
1554	x	Passive	Passive	a cousin is protected by a mother.	the cheese was carried by the son.
1554	y	Active	Passive	a mother protects a cousin.	the cheese was carried by the son.
1555	y	Passive	Active	a cousin is protected by a mother.	the son carried the cheese.
1555	x	Active	Active	a mother protects a cousin.	the son carried the cheese.
1556	x	Passive	Passive	a chicken is grabbed by a secretary.	the cheese was carried by the son.
1556	y	Active	Passive	a secretary grabs a chicken.	the cheese was carried by the son.
1557	y	Passive	Active	a chicken is grabbed by a secretary.	the son carried the cheese.
1557	x	Active	Active	a secretary grabs a chicken.	the son carried the cheese.
1558	x	Passive	Passive	a president is beaten by a physician.	the cheese was carried by the son.
1558	y	Active	Passive	a physician beats a president.	the cheese was carried by the son.
1559	y	Passive	Active	a president is beaten by a physician.	the son carried the cheese.
1559	x	Active	Active	a physician beats a president.	the son carried the cheese.
1560	x	Passive	Passive	the ball is wanted by the army.	a coffee was drunk by a sheriff.
1560	y	Active	Passive	the army wants the ball.	a coffee was drunk by a sheriff.
1561	y	Passive	Active	the ball is wanted by the army.	a sheriff drank a coffee.
1561	x	Active	Active	the army wants the ball.	a sheriff drank a coffee.
1562	x	Passive	Passive	the meal is grabbed by the buddy.	a coffee was drunk by a sheriff.
1562	y	Active	Passive	the buddy grabs the meal.	a coffee was drunk by a sheriff.
1563	y	Passive	Active	the meal is grabbed by the buddy.	a sheriff drank a coffee.
1563	x	Active	Active	the buddy grabs the meal.	a sheriff drank a coffee.
1564	x	Passive	Passive	the friend is described by the husband.	a coffee was drunk by a sheriff.
1564	y	Active	Passive	the husband describes the friend.	a coffee was drunk by a sheriff.
1565	y	Passive	Active	the friend is described by the husband.	a sheriff drank a coffee.
1565	x	Active	Active	the husband describes the friend.	a sheriff drank a coffee.
1566	x	Passive	Passive	the princess is struck by the brother.	a coffee was drunk by a sheriff.
1566	y	Active	Passive	the brother strikes the princess.	a coffee was drunk by a sheriff.
1567	y	Passive	Active	the princess is struck by the brother.	a sheriff drank a coffee.
1567	x	Active	Active	the brother strikes the princess.	a sheriff drank a coffee.
1568	x	Passive	Passive	the anchor is wanted by the company.	a coffee was drunk by a sheriff.
1568	y	Active	Passive	the company wants the anchor.	a coffee was drunk by a sheriff.
1569	y	Passive	Active	the anchor is wanted by the company.	a sheriff drank a coffee.
1569	x	Active	Active	the company wants the anchor.	a sheriff drank a coffee.
1570	x	Passive	Passive	the husband is kissed by the adult.	a coffee was drunk by a sheriff.
1570	y	Active	Passive	the adult kisses the husband.	a coffee was drunk by a sheriff.
1571	y	Passive	Active	the husband is kissed by the adult.	a sheriff drank a coffee.
1571	x	Active	Active	the adult kisses the husband.	a sheriff drank a coffee.
1572	x	Passive	Passive	the husband is joined by the worker.	a coffee was drunk by a sheriff.
1572	y	Active	Passive	the worker joins the husband.	a coffee was drunk by a sheriff.
1573	y	Passive	Active	the husband is joined by the worker.	a sheriff drank a coffee.
1573	x	Active	Active	the worker joins the husband.	a sheriff drank a coffee.
1574	x	Passive	Passive	the professor is protected by the corporation.	a coffee was drunk by a sheriff.
1574	y	Active	Passive	the corporation protects the professor.	a coffee was drunk by a sheriff.
1575	y	Passive	Active	the professor is protected by the corporation.	a sheriff drank a coffee.
1575	x	Active	Active	the corporation protects the professor.	a sheriff drank a coffee.
1576	x	Passive	Passive	the reader is kissed by the hero.	a coffee was drunk by a sheriff.
1576	y	Active	Passive	the hero kisses the reader.	a coffee was drunk by a sheriff.
1577	y	Passive	Active	the reader is kissed by the hero.	a sheriff drank a coffee.
1577	x	Active	Active	the hero kisses the reader.	a sheriff drank a coffee.
1578	x	Passive	Passive	the actress is followed by the man.	a coffee was drunk by a sheriff.
1578	y	Active	Passive	the man follows the actress.	a coffee was drunk by a sheriff.
1579	y	Passive	Active	the actress is followed by the man.	a sheriff drank a coffee.
1579	x	Active	Active	the man follows the actress.	a sheriff drank a coffee.
1580	x	Passive	Passive	the mother was protected by the guest.	a lady is joined by an author.
1580	y	Active	Passive	the guest protected the mother.	a lady is joined by an author.
1581	y	Passive	Active	the mother was protected by the guest.	an author joins a lady.
1581	x	Active	Active	the guest protected the mother.	an author joins a lady.
1582	x	Passive	Passive	the sheriff was forgiven by the candidate.	a lady is joined by an author.
1582	y	Active	Passive	the candidate forgave the sheriff.	a lady is joined by an author.
1583	y	Passive	Active	the sheriff was forgiven by the candidate.	an author joins a lady.
1583	x	Active	Active	the candidate forgave the sheriff.	an author joins a lady.
1584	x	Passive	Passive	the chocolate was forgotten by the husband.	a lady is joined by an author.
1584	y	Active	Passive	the husband forgot the chocolate.	a lady is joined by an author.
1585	y	Passive	Active	the chocolate was forgotten by the husband.	an author joins a lady.
1585	x	Active	Active	the husband forgot the chocolate.	an author joins a lady.
1586	x	Passive	Passive	the jacket was prepared by the boy.	a lady is joined by an author.
1586	y	Active	Passive	the boy prepared the jacket.	a lady is joined by an author.
1587	y	Passive	Active	the jacket was prepared by the boy.	an author joins a lady.
1587	x	Active	Active	the boy prepared the jacket.	an author joins a lady.
1588	x	Passive	Passive	the partner was hurt by the child.	a lady is joined by an author.
1588	y	Active	Passive	the child hurt the partner.	a lady is joined by an author.
1589	y	Passive	Active	the partner was hurt by the child.	an author joins a lady.
1589	x	Active	Active	the child hurt the partner.	an author joins a lady.
1590	x	Passive	Passive	the nurse was chased by the doctor.	a lady is joined by an author.
1590	y	Active	Passive	the doctor chased the nurse.	a lady is joined by an author.
1591	y	Passive	Active	the nurse was chased by the doctor.	an author joins a lady.
1591	x	Active	Active	the doctor chased the nurse.	an author joins a lady.
1592	x	Passive	Passive	the actor was protected by the corporation.	a lady is joined by an author.
1592	y	Active	Passive	the corporation protected the actor.	a lady is joined by an author.
1593	y	Passive	Active	the actor was protected by the corporation.	an author joins a lady.
1593	x	Active	Active	the corporation protected the actor.	an author joins a lady.
1594	x	Passive	Passive	the salad was tasted by the minister.	a lady is joined by an author.
1594	y	Active	Passive	the minister tasted the salad.	a lady is joined by an author.
1595	y	Passive	Active	the salad was tasted by the minister.	an author joins a lady.
1595	x	Active	Active	the minister tasted the salad.	an author joins a lady.
1596	x	Passive	Passive	the pie was smelled by the singer.	a lady is joined by an author.
1596	y	Active	Passive	the singer smelled the pie.	a lady is joined by an author.
1597	y	Passive	Active	the pie was smelled by the singer.	an author joins a lady.
1597	x	Active	Active	the singer smelled the pie.	an author joins a lady.
1598	x	Passive	Passive	the meal was tasted by the chief.	a lady is joined by an author.
1598	y	Active	Passive	the chief tasted the meal.	a lady is joined by an author.
1599	y	Passive	Active	the meal was tasted by the chief.	an author joins a lady.
1599	x	Active	Active	the chief tasted the meal.	an author joins a lady.
1600	x	Passive	Passive	the aunt is struck by the buddy.	a chocolate was wanted by a hero.
1600	y	Active	Passive	the buddy strikes the aunt.	a chocolate was wanted by a hero.
1601	y	Passive	Active	the aunt is struck by the buddy.	a hero wanted a chocolate.
1601	x	Active	Active	the buddy strikes the aunt.	a hero wanted a chocolate.
1602	x	Passive	Passive	the beer is carried by the husband.	a chocolate was wanted by a hero.
1602	y	Active	Passive	the husband carries the beer.	a chocolate was wanted by a hero.
1603	y	Passive	Active	the beer is carried by the husband.	a hero wanted a chocolate.
1603	x	Active	Active	the husband carries the beer.	a hero wanted a chocolate.
1604	x	Passive	Passive	the aunt is killed by the kid.	a chocolate was wanted by a hero.
1604	y	Active	Passive	the kid kills the aunt.	a chocolate was wanted by a hero.
1605	y	Passive	Active	the aunt is killed by the kid.	a hero wanted a chocolate.
1605	x	Active	Active	the kid kills the aunt.	a hero wanted a chocolate.
1606	x	Passive	Passive	the army is chased by the prince.	a chocolate was wanted by a hero.
1606	y	Active	Passive	the prince chases the army.	a chocolate was wanted by a hero.
1607	y	Passive	Active	the army is chased by the prince.	a hero wanted a chocolate.
1607	x	Active	Active	the prince chases the army.	a hero wanted a chocolate.
1608	x	Passive	Passive	the iron is wrapped by the guest.	a chocolate was wanted by a hero.
1608	y	Active	Passive	the guest wraps the iron.	a chocolate was wanted by a hero.
1609	y	Passive	Active	the iron is wrapped by the guest.	a hero wanted a chocolate.
1609	x	Active	Active	the guest wraps the iron.	a hero wanted a chocolate.
1610	x	Passive	Passive	the salad is collected by the woman.	a chocolate was wanted by a hero.
1610	y	Active	Passive	the woman collects the salad.	a chocolate was wanted by a hero.
1611	y	Passive	Active	the salad is collected by the woman.	a hero wanted a chocolate.
1611	x	Active	Active	the woman collects the salad.	a hero wanted a chocolate.
1612	x	Passive	Passive	the captain is described by the king.	a chocolate was wanted by a hero.
1612	y	Active	Passive	the king describes the captain.	a chocolate was wanted by a hero.
1613	y	Passive	Active	the captain is described by the king.	a hero wanted a chocolate.
1613	x	Active	Active	the king describes the captain.	a hero wanted a chocolate.
1614	x	Passive	Passive	the plate is caught by the chief.	a chocolate was wanted by a hero.
1614	y	Active	Passive	the chief catches the plate.	a chocolate was wanted by a hero.
1615	y	Passive	Active	the plate is caught by the chief.	a hero wanted a chocolate.
1615	x	Active	Active	the chief catches the plate.	a hero wanted a chocolate.
1616	x	Passive	Passive	the wire is selected by the child.	a chocolate was wanted by a hero.
1616	y	Active	Passive	the child selects the wire.	a chocolate was wanted by a hero.
1617	y	Passive	Active	the wire is selected by the child.	a hero wanted a chocolate.
1617	x	Active	Active	the child selects the wire.	a hero wanted a chocolate.
1618	x	Passive	Passive	the girl is comforted by the author.	a chocolate was wanted by a hero.
1618	y	Active	Passive	the author comforts the girl.	a chocolate was wanted by a hero.
1619	y	Passive	Active	the girl is comforted by the author.	a hero wanted a chocolate.
1619	x	Active	Active	the author comforts the girl.	a hero wanted a chocolate.
1620	x	Passive	Passive	the bowl was wanted by the husband.	a key is kept by a company.
1620	y	Active	Passive	the husband wanted the bowl.	a key is kept by a company.
1621	y	Passive	Active	the bowl was wanted by the husband.	a company keeps a key.
1621	x	Active	Active	the husband wanted the bowl.	a company keeps a key.
1622	x	Passive	Passive	the bottle was prepared by the student.	a key is kept by a company.
1622	y	Active	Passive	the student prepared the bottle.	a key is kept by a company.
1623	y	Passive	Active	the bottle was prepared by the student.	a company keeps a key.
1623	x	Active	Active	the student prepared the bottle.	a company keeps a key.
1624	x	Passive	Passive	the leader was judged by the minister.	a key is kept by a company.
1624	y	Active	Passive	the minister judged the leader.	a key is kept by a company.
1625	y	Passive	Active	the leader was judged by the minister.	a company keeps a key.
1625	x	Active	Active	the minister judged the leader.	a company keeps a key.
1626	x	Passive	Passive	the tea was raised by the employee.	a key is kept by a company.
1626	y	Active	Passive	the employee raised the tea.	a key is kept by a company.
1627	y	Passive	Active	the tea was raised by the employee.	a company keeps a key.
1627	x	Active	Active	the employee raised the tea.	a company keeps a key.
1628	x	Passive	Passive	the salad was smelled by the singer.	a key is kept by a company.
1628	y	Active	Passive	the singer smelled the salad.	a key is kept by a company.
1629	y	Passive	Active	the salad was smelled by the singer.	a company keeps a key.
1629	x	Active	Active	the singer smelled the salad.	a company keeps a key.
1630	x	Passive	Passive	the colonel was kissed by the girl.	a key is kept by a company.
1630	y	Active	Passive	the girl kissed the colonel.	a key is kept by a company.
1631	y	Passive	Active	the colonel was kissed by the girl.	a company keeps a key.
1631	x	Active	Active	the girl kissed the colonel.	a company keeps a key.
1632	x	Passive	Passive	the guitar was broken by the brother.	a key is kept by a company.
1632	y	Active	Passive	the brother broke the guitar.	a key is kept by a company.
1633	y	Passive	Active	the guitar was broken by the brother.	a company keeps a key.
1633	x	Active	Active	the brother broke the guitar.	a company keeps a key.
1634	x	Passive	Passive	the crystal was removed by the mayor.	a key is kept by a company.
1634	y	Active	Passive	the mayor removed the crystal.	a key is kept by a company.
1635	y	Passive	Active	the crystal was removed by the mayor.	a company keeps a key.
1635	x	Active	Active	the mayor removed the crystal.	a company keeps a key.
1636	x	Passive	Passive	the coat was broken by the singer.	a key is kept by a company.
1636	y	Active	Passive	the singer broke the coat.	a key is kept by a company.
1637	y	Passive	Active	the coat was broken by the singer.	a company keeps a key.
1637	x	Active	Active	the singer broke the coat.	a company keeps a key.
1638	x	Passive	Passive	the parent was struck by the reader.	a key is kept by a company.
1638	y	Active	Passive	the reader struck the parent.	a key is kept by a company.
1639	y	Passive	Active	the parent was struck by the reader.	a company keeps a key.
1639	x	Active	Active	the reader struck the parent.	a company keeps a key.
1640	x	Passive	Passive	the motor was broken by the king.	a captain is hurt by a cousin.
1640	y	Active	Passive	the king broke the motor.	a captain is hurt by a cousin.
1641	y	Passive	Active	the motor was broken by the king.	a cousin hurts a captain.
1641	x	Active	Active	the king broke the motor.	a cousin hurts a captain.
1642	x	Passive	Passive	the guy was understood by the winner.	a captain is hurt by a cousin.
1642	y	Active	Passive	the winner understood the guy.	a captain is hurt by a cousin.
1643	y	Passive	Active	the guy was understood by the winner.	a cousin hurts a captain.
1643	x	Active	Active	the winner understood the guy.	a cousin hurts a captain.
1644	x	Passive	Passive	the club was followed by the priest.	a captain is hurt by a cousin.
1644	y	Active	Passive	the priest followed the club.	a captain is hurt by a cousin.
1645	y	Passive	Active	the club was followed by the priest.	a cousin hurts a captain.
1645	x	Active	Active	the priest followed the club.	a cousin hurts a captain.
1646	x	Passive	Passive	the doctor was struck by the guy.	a captain is hurt by a cousin.
1646	y	Active	Passive	the guy struck the doctor.	a captain is hurt by a cousin.
1647	y	Passive	Active	the doctor was struck by the guy.	a cousin hurts a captain.
1647	x	Active	Active	the guy struck the doctor.	a cousin hurts a captain.
1648	x	Passive	Passive	the beer was selected by the professor.	a captain is hurt by a cousin.
1648	y	Active	Passive	the professor selected the beer.	a captain is hurt by a cousin.
1649	y	Passive	Active	the beer was selected by the professor.	a cousin hurts a captain.
1649	x	Active	Active	the professor selected the beer.	a cousin hurts a captain.
1650	x	Passive	Passive	the employee was kissed by the physician.	a captain is hurt by a cousin.
1650	y	Active	Passive	the physician kissed the employee.	a captain is hurt by a cousin.
1651	y	Passive	Active	the employee was kissed by the physician.	a cousin hurts a captain.
1651	x	Active	Active	the physician kissed the employee.	a cousin hurts a captain.
1652	x	Passive	Passive	the coffee was kept by the lady.	a captain is hurt by a cousin.
1652	y	Active	Passive	the lady kept the coffee.	a captain is hurt by a cousin.
1653	y	Passive	Active	the coffee was kept by the lady.	a cousin hurts a captain.
1653	x	Active	Active	the lady kept the coffee.	a cousin hurts a captain.
1654	x	Passive	Passive	the corporation was followed by the president.	a captain is hurt by a cousin.
1654	y	Active	Passive	the president followed the corporation.	a captain is hurt by a cousin.
1655	y	Passive	Active	the corporation was followed by the president.	a cousin hurts a captain.
1655	x	Active	Active	the president followed the corporation.	a cousin hurts a captain.
1656	x	Passive	Passive	the wife was forgotten by the nurse.	a captain is hurt by a cousin.
1656	y	Active	Passive	the nurse forgot the wife.	a captain is hurt by a cousin.
1657	y	Passive	Active	the wife was forgotten by the nurse.	a cousin hurts a captain.
1657	x	Active	Active	the nurse forgot the wife.	a cousin hurts a captain.
1658	x	Passive	Passive	the coat was described by the king.	a captain is hurt by a cousin.
1658	y	Active	Passive	the king described the coat.	a captain is hurt by a cousin.
1659	y	Passive	Active	the coat was described by the king.	a cousin hurts a captain.
1659	x	Active	Active	the king described the coat.	a cousin hurts a captain.
1660	x	Passive	Passive	a worker is joined by a friend.	the salad was discovered by the minister.
1660	y	Active	Passive	a friend joins a worker.	the salad was discovered by the minister.
1661	y	Passive	Active	a worker is joined by a friend.	the minister discovered the salad.
1661	x	Active	Active	a friend joins a worker.	the minister discovered the salad.
1662	x	Passive	Passive	a soldier is washed by a boy.	the salad was discovered by the minister.
1662	y	Active	Passive	a boy washes a soldier.	the salad was discovered by the minister.
1663	y	Passive	Active	a soldier is washed by a boy.	the minister discovered the salad.
1663	x	Active	Active	a boy washes a soldier.	the minister discovered the salad.
1664	x	Passive	Passive	a juice is kept by a band.	the salad was discovered by the minister.
1664	y	Active	Passive	a band keeps a juice.	the salad was discovered by the minister.
1665	y	Passive	Active	a juice is kept by a band.	the minister discovered the salad.
1665	x	Active	Active	a band keeps a juice.	the minister discovered the salad.
1666	x	Passive	Passive	a telephone is wrapped by a nurse.	the salad was discovered by the minister.
1666	y	Active	Passive	a nurse wraps a telephone.	the salad was discovered by the minister.
1667	y	Passive	Active	a telephone is wrapped by a nurse.	the minister discovered the salad.
